Sector,Industry Code,Industry Name,InvDiff_21H2,InvDiff_22H1,InvDiff_22H2,InvDiff_23H1
Comm. Services (50),50201010,Advertising,25.250507571557364,8.492146023724104,28.64463797355438,11.803784083107189
Industrials (20),20101010,Aerospace & Defense,53.20914014012533,152.43211649336718,86.93568314968115,145.47773872592143
Industrials (20),20106015,Agricultural & Farm Machinery,12.053008769495335,2.732716972825017,30.476841914877127,11.479708228408924
Consumer Staples (30),30202010,Agricultural Products & Services,1.1154849320791982,60.11692437371039,232.72616962022585,21.030453748635864
Industrials (20),20301010,Air Freight & Logistics,603.6671004187483,294.47105766992036,783.9844746663593,528.9872431140666
Industrials (20),20305010,Airport Services,79.21130711603064,-18.418450671657524,76.97043391935426,30.341102697289557
Materials (15),15104010,Aluminum,94.2503769948712,55.08539032916178,256.56894915480643,121.75982827677944
Cons. Discretionary (25),25504010,Apparel Retail,74.14425673654853,0.3856312852863084,61.295771520314815,3.1637060257148732
Cons. Discretionary (25),25203010,"Apparel, Accessories & Luxury Goods",93.83666458581638,48.07122507504346,120.26137372767971,-4.7040536465538025
Cons. Discretionary (25),25102010,Automobile Manufacturers,729.3674911520629,758.1100932338431,1066.2453727643951,601.2569069908641
Cons. Discretionary (25),25101010,Automotive Parts & Equipment,605.6826917675644,231.00392470435236,334.6998052330782,217.6778355933011
Cons. Discretionary (25),25504050,Automotive Retail,19.920505222314887,58.2400742602365,44.54827950291133,3.34339132964692
Health Care (35),35201010,Biotechnology,-57.92242611181405,18.988871692714156,23.928270720508635,35.07874453004138
Consumer Staples (30),30201010,Brewers,23.05225306017681,-15.66280837786752,41.43025235168335,-19.230705768265352
Industrials (20),20102010,Building Products,258.67575795503967,100.5887784370791,118.91309169460214,100.98947546648469
Comm. Services (50),50201030,Cable & Satellite,30.946506343721808,8.617475030077912,56.89437203243574,13.657012716113513
Cons. Discretionary (25),25301010,Casinos & Gaming,0.8551482855023194,0.14863508093627908,0.07379540978515653,-0.3206147021069339
Energy (10),10102050,Coal & Consumable Fuels,-24.89759702058393,32.94480286204953,62.13908395590602,39.684154849978086
Industrials (20),20201010,Commercial Printing,19.191737370836563,-1.2324022813888291,12.2628129542245,-4.338479152223158
Materials (15),15101010,Commodity Chemicals,1075.8521906936257,620.9417128244895,660.4900933752906,474.5289626426638
Info. Technology (45),45201020,Communications Equipment,389.4345773772802,289.78200857137745,734.6128060409674,378.9100328864297
Cons. Discretionary (25),25504020,Computer & Electronics Retail,23.773110156879625,-18.809181295278677,15.161315252014447,-13.861997419438012
Industrials (20),20103010,Construction & Engineering,985.2899828000518,466.628510466282,9661.848930732842,9398.722953566583
Industrials (20),20106010,Construction Machinery & Heavy Transportation Equipment,162.91257590052828,365.1478965645456,56.07619275223442,365.1719418164057
Materials (15),15102010,Construction Materials,174.976454634545,70.6378443091844,220.97406716065962,-0.21819941796729836
Cons. Discretionary (25),25201010,Consumer Electronics,25.17861372398636,62.814863113347315,23.46241757417272,-23.551931177529013
Consumer Staples (30),30101040,Consumer Staples Merchandise Retail,283.3990905858452,-54.19450382900027,90.11093156079914,-61.10415791003106
Materials (15),15104025,Copper,31.807969938400447,18.73526631213997,72.61354705603719,31.112565209710738
Consumer Staples (30),30201020,Distillers & Vintners,172.96000010422995,52.517321199250546,202.12295119375403,46.81378237955187
Cons. Discretionary (25),25501010,Distributors,-14.520555577262257,288.81253975360187,-110.43599872084405,172.5277659995113
Materials (15),15101020,Diversified Chemicals,360.7355681882136,285.695383066869,694.6409163095122,356.999577264829
Materials (15),15104020,Diversified Metals & Mining,576.9869998391077,180.0287476936337,672.9108007337563,452.1656433163125
Industrials (20),20201070,Diversified Support Services,3.1841706914727865,5.709368897790682,34.79961886870365,24.855956327552235
Consumer Staples (30),30101010,Drug Retail,33.62665036923772,1.0026534158025697,57.899149241011855,4.350195807355362
Cons. Discretionary (25),25302010,Education Services,19.472107375578958,8.091198419985176,17.964435593420035,8.311789552545633
Utilities (55),55101010,Electric Utilities,38.65248704866565,-18.88837166845667,35.21554013327113,36.60297007721374
Industrials (20),20104010,Electrical Components & Equipment,1281.201470590493,1466.44230901011,1189.847084827259,354.23228464806016
Info. Technology (45),45203015,Electronic Components,170.7192315702157,11.96706419445411,5.301365688137025,-1.4974574421840998
Info. Technology (45),45203010,Electronic Equipment & Instruments,258.4770219133711,159.50726388088697,290.87500939050824,194.40782430122545
Industrials (20),20201050,Environmental & Facilities Services,201.21297748712004,75.014992843664,778.0373513338354,437.3337931772121
Materials (15),15101030,Fertilizers & Agricultural Chemicals,200.42491640584853,73.51711585737439,79.92553406306138,5.639999056207216
Consumer Staples (30),30101020,Food Distributors,73.26463526893195,25.686238509295322,46.04642009771908,-10.272717050481447
Consumer Staples (30),30101030,Food Retail,0.6948535933746314,-7.977278098381419,13.49644514358269,-12.603292716115504
Cons. Discretionary (25),25203020,Footwear,0.5066745113559108,3.631591496249385,-7.843065493617317,-0.23317463262441152
Materials (15),15105010,Forest Products,25.461233319866693,19.220209737642904,50.40463750211717,21.56263828848887
Utilities (55),55102010,Gas Utilities,94.69309623585832,15.686338453131839,233.09721232064885,166.33651514892335
Materials (15),15104030,Gold,-39.67090657772087,46.52848052782679,-23.314840718457276,47.75078505063857
Health Care (35),35102010,Health Care Distributors,1.490204095840454,-1.1120467185974126,0.8975868225097661,0.17377328872680664
Health Care (35),35101010,Health Care Equipment,10.952810271373181,6.285413363989733,-13.438249282425772,3.8194681141528974
Health Care (35),35102020,Health Care Facilities,12.19786348668912,0.8001446327473758,8.997131232673524,1.25813660302871
Health Care (35),35102015,Health Care Services,23.505256933678254,49.67580390801123,25.59432980020398,6.861986487313743
Health Care (35),35101020,Health Care Supplies,197.7683998644834,167.89960711269487,532.7275058273576,172.36517491108816
Health Care (35),35103010,Health Care Technology,672.0768607666378,420.52753313310495,889.2078311668665,519.9407069182198
Industrials (20),20104020,Heavy Electrical Equipment,154.81716325165507,133.4300912568815,324.6487810766648,243.50791617945242
Industrials (20),20305020,Highways & Railtracks,-13.60776815475333,4.800725581907727,110.6412503912436,149.94063952131728
Cons. Discretionary (25),25201020,Home Furnishings,29.816835312229273,-2.6412963058731975,-8.494039335911566,-2.0472290854914945
Cons. Discretionary (25),25504030,Home Improvement Retail,87.17098798632514,-99.65149263052376,86.09760577279974,-124.01325026046635
Cons. Discretionary (25),25201030,Homebuilding,-1.1532300908203297,0.36814846606444007,3.135045710205077,-47.66834780981446
Cons. Discretionary (25),25504060,Homefurnishing Retail,4.045536377399667,0.2361380562458777,-0.07823140720084609,-1.4545997746280435
Cons. Discretionary (25),25301020,"Hotels, Resorts & Cruise Lines",-103.78807215804409,150.4674396393293,-434.8446202317664,-2.7396909777344263
Cons. Discretionary (25),25201040,Household Appliances,128.87605165068453,14.657343763014524,156.23544447350514,-1.6158693958732329
