Supplier_Industry,Advertising,Aerospace & Defense,Agricultural & Farm Machinery,Agricultural Products & Services,Air Freight & Logistics,Airport Services,Aluminum,Apparel Retail,"Apparel, Accessories & Luxury Goods",Automobile Manufacturers,Automotive Parts & Equipment,Automotive Retail,Biotechnology,Brewers,Building Products,Cable & Satellite,Casinos & Gaming,Coal & Consumable Fuels,Commercial Printing,Commodity Chemicals,Communications Equipment,Computer & Electronics Retail,Construction & Engineering,Construction Machinery & Heavy Transportation Equipment,Construction Materials,Consumer Electronics,Consumer Staples Merchandise Retail,Copper,Distillers & Vintners,Distributors,Diversified Chemicals,Diversified Metals & Mining,Diversified Support Services,Drug Retail,Education Services,Electric Utilities,Electrical Components & Equipment,Electronic Components,Electronic Equipment & Instruments,Environmental & Facilities Services,Fertilizers & Agricultural Chemicals,Food Distributors,Food Retail,Footwear,Forest Products,Gas Utilities,Gold,Health Care Distributors,Health Care Equipment,Health Care Facilities,Health Care Services,Health Care Supplies,Health Care Technology,Heavy Electrical Equipment,Highways & Railtracks,Home Furnishings,Home Improvement Retail,Homebuilding,Homefurnishing Retail,"Hotels, Resorts & Cruise Lines",Household Appliances,Household Products,Housewares & Specialties,Human Resource & Employment Services,Industrial Gases,Industrial Machinery & Supplies & Components,Integrated Telecommunication Services,Internet Services & Infrastructure,Leisure Facilities,Leisure Products,Life Sciences Tools & Services,Marine Ports & Services,Marine Transportation,"Metal, Glass & Plastic Containers",Motorcycle Manufacturers,Movies & Entertainment,Office Services & Supplies,Oil & Gas Drilling,Oil & Gas Equipment & Services,Oil & Gas Exploration & Production,Oil & Gas Refining & Marketing,Oil & Gas Storage & Transportation,Other Specialty Retail,Packaged Foods & Meats,Paper & Plastic Packaging Products & Materials,Paper Products,Passenger Airlines,Personal Care Products,Pharmaceuticals,Publishing,Rail Transportation,Renewable Electricity,Research & Consulting Services,Restaurants,Security & Alarm Services,Semiconductors,Soft Drinks & Non-alcoholic Beverages,Specialized Consumer Services,Specialty Chemicals,Steel,Technology Distributors,"Technology Hardware, Storage & Peripherals",Textiles,Tires & Rubber,Trading Companies & Distributors,Water Utilities,Wireless Telecommunication Services
Advertising,573583181.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11259987.66,0.0,16084571.040000001,0.0,0.0,0.0,498577.33,79599422.52,0.0,0.0,3524344.33,0.0,0.0,250000.0,1058122.9,0.0,105177.0,11985800.0,0.0,0.0,9198113.24,94339.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280218.88,166117.04,0.0,0.0,0.0,27132.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444131645.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28700.0,0.0,0.0,4219338.51,0.0,0.0,0.0,7367850.95,11097574.11,0.0,0.0,0.0,0.0,129382766.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39062107.48,42320.58,1000000.0,0.0,14528872.89,18802333.94,0.0,0.0,26679619.06,0.0,0.0,237750.33000000002,0.0,0.0,0.0,32956726.77,124562564.28,0.0,8490.57,0.0,1574300.0,1000000.0,0.0
Aerospace & Defense,0.0,1778076266.46,0.0,0.0,0.0,11672991.09,0.0,0.0,52810.149999999994,320397.88,206062.25,0.0,0.0,0.0,496699.1,0.0,0.0,0.0,8112367.31,433025652.04,126402312.76,0.0,7103701.01,934725679.3199999,0.0,0.0,0.0,0.0,78969.67,405058.56,777567.5800000001,37966089.03,0.0,33687701.33,0.0,25951504.42,22997010.27,14024498.43,7277914.42,179115.04,0.0,0.0,0.0,0.0,0.0,0.0,216981.13,0.0,370538.89999999997,0.0,0.0,1419274.31,7743210.02,0.0,0.0,0.0,0.0,0.0,0.0,19646915.44,725304691.92,0.0,0.0,0.0,0.0,61529142.75,0.0,0.0,0.0,0.0,827267322.0099999,0.0,0.0,0.0,8947200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130650.17,37734470.13,1086787.0,33017699.12,0.0,0.0,0.0,0.0,34104610.63,26716.98,0.0,0.0,3876.3100000000004,0.0,0.0,0.0,44410514.06,0.0,0.0,0.0,182462702.11,75658.29,0.0,0.0
Agricultural & Farm Machinery,0.0,0.0,6360046.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553160.7,0.0,101150.44,0.0,0.0,0.0,0.0,0.0,0.0,853500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3761061.95,0.0,0.0,0.0,0.0,18370055.05,0.0,0.0,0.0,1334900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177508.93,0.0,0.0,0.0,0.0,79646.02,0.0,0.0,0.0,0.0,0.0,0.0,423421.75,0.0,0.0,0.0,2249108.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agricultural Products & Services,0.0,0.0,0.0,1553092673.82,890940.47,0.0,345405.18,0.0,60000.0,0.0,4910414.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22228211.97,131665078.7,0.0,25099500.82,0.0,582906.29,0.0,0.0,0.0,8494254.75,439368.16,31116724.74,1297663.0,106898.0,0.0,4687.5,0.0,14763329.21,911639.4099999999,144843003.89,197.26,46892.5,79505579.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239053.62,330042.0,21228.94,0.0,1464531.44,0.0,0.0,0.0,0.0,31645342.740000002,0.0,58500.0,0.0,0.0,2503199.03,0.0,0.0,0.0,0.0,90579248.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3975.28,1550574053.75,7987316.07,0.0,0.0,0.0,2452126.9,106427.24,0.0,41600960.88,813650.61,20186086.68,0.0,40744787.53,0.0,0.0,0.0,1268852.53,1333501.86,55755647.18,2193000.0,0.0,271369.79,2215639.97,0.0
Air Freight & Logistics,0.0,0.0,0.0,109262441.85,10917170340.56,56778716.08,160549018.24,0.0,212623359.04,209930.02000000002,13555894.28,0.0,22029111.79,0.0,0.0,0.0,0.0,10776354.1,0.0,157012648.38,38173314.32,0.0,847574682.0999999,207016346.18,3256593.5500000003,0.0,0.0,0.0,9903362.15,12479720.64,288335583.06,179685601.75,481084571.11,0.0,0.0,67270.44,26118831.51,870963.46,4124182.0399999996,219873504.81999996,9819842.52,0.0,0.0,0.0,641845.77,929035.28,423644038.39,0.0,0.0,0.0,0.0,80262.46,67236274.11,3788883.64,82671819.08,9139.81,0.0,0.0,0.0,136955396.29,425316491.09999996,0.0,52155441.04,0.0,0.0,211529018.75,9485712.46,0.0,0.0,0.0,90728047.21000001,119761234.94,429877516.40999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227524.77,383852767.54,139405926.12,2833745.09,25996664.97,0.0,0.0,0.0,83434780.88,0.0,596063945.95,188844828.79000002,7362066.32,0.0,2020492.85,76513203.72,0.0,0.0,0.0,191377666.2,1411291.39,429685.2,12425259.280000001,83342947.39,161395634.55,1320.0,0.0
Airport Services,190092327.82,616150.04,0.0,0.0,953248576.6800001,886185638.78,0.0,0.0,0.0,4687210.9,318.6,0.0,0.0,0.0,995887.71,0.0,0.0,0.0,63802.47,0.0,810695.2,0.0,110602484.69999999,0.0,230023.15,0.0,0.0,0.0,0.0,0.0,23559459.91,3970996.2199999997,0.0,0.0,0.0,0.0,44704031.13,0.0,23916.85,0.0,0.0,0.0,0.0,0.0,0.0,130483.11,0.0,0.0,0.0,0.0,0.0,0.0,289793128.32,32894807.67,759639.09,0.0,0.0,0.0,0.0,4638760.99,0.0,0.0,0.0,0.0,0.0,225958379.52,796508666.73,0.0,0.0,0.0,3036006.23,0.0,840007604.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14904489.46,0.0,0.0,0.0,0.0,84212236.14,245314656.57000002,291766.3,0.0,104122478.81,0.0,0.0,0.0,2924371.01,0.0,2081944.0,0.0,0.0,31441938.6,0.0,0.0
Aluminum,0.0,0.0,9359000.0,0.0,1729664.45,0.0,13564885878.1,0.0,69405073.23,0.0,483179853.79,0.0,11743187.43,0.0,147104.4,0.0,0.0,1385400.0,22809098.61,111277270.72,49535210.13,0.0,114212859.19,0.0,0.0,0.0,0.0,83199333.61,61588.7,0.0,8124371.76,402790705.72,146384.36,0.0,0.0,0.0,31662744.009999998,0.0,3304893.73,4986.74,4566377.36,13723.55,0.0,0.0,0.0,16616276.48,0.0,0.0,0.0,0.0,0.0,12490821.0,160646950.44,0.0,70007505.64,4318580.22,0.0,0.0,0.0,0.0,0.0,0.0,20815271.53,0.0,0.0,60412655.98,0.0,0.0,0.0,460835.01,221701.38,0.0,0.0,0.0,0.0,136458.17,26575991.880000003,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,262207.21,0.0,0.0,0.0,38888.08,0.0,0.0,135070838.76,10903963.200000001,0.0,0.0,518707039.28000003,0.0,0.0,0.0,989312607.3100001,6124324.0,0.0,12591973.29,0.0,0.0,0.0,0.0
Apparel Retail,0.0,0.0,0.0,0.0,0.0,0.0,3958948.11,54324.0,0.0,0.0,2010281.17,4875412.12,0.0,0.0,35080190.41,0.0,0.0,0.0,0.0,44389924.0,72231031.2,0.0,0.0,0.0,0.0,14519171.29,0.0,0.0,0.0,253770.41,10548215.24,4505769.89,0.0,0.0,0.0,0.0,15719644.02,0.0,559366.52,584450.04,4265.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78073.81,0.0,0.0,25900.0,6358459.47,0.0,0.0,0.0,2625108.32,0.0,3186879.0,0.0,0.0,0.0,77150.26,0.0,0.0,0.0,0.0,154360816.19,0.0,220252808.65,0.0,0.0,0.0,0.0,34155972.949999996,6848610.0,0.0,0.0,8903524.01,0.0,0.0,0.0,0.0,0.0,0.0,28843180.95,0.0,0.0,0.0,0.0,10884.0,0.0,0.0
"Apparel, Accessories & Luxury Goods",0.0,5532324.28,0.0,6500.0,2177853.56,95044.25,135111653.56,97625.67,719981365.44,9182921.03,7501066.75,0.0,4233.63,0.0,204072.71999999997,0.0,0.0,0.0,1047046.84,109811634.55,2214574.6,25293733.9,188582870.69,0.0,191842792.55,0.0,0.0,0.0,104993.45,0.0,1617481.11,13819224.34,114814.16,0.0,0.0,1082227.75,113945364.43,30907137.26,2346791.49,29885814.7,0.0,12142659.82,0.0,576867.21,0.0,112568.29,2074846.4900000002,0.0,0.0,0.0,123912661.06,145778.78,46445724.52,0.0,0.0,7557.51,0.0,0.0,0.0,12373672.299999999,0.0,0.0,3116766.2,0.0,0.0,84568396.74000001,269896.43,0.0,0.0,948403.89,17385720.47,0.0,0.0,316108768.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208169.4,5571294.76,0.0,265018354.77,0.0,0.0,14118339.14,2108396.6,0.0,12065078.749999998,99231794.86999999,0.0,15911100.0,38634908.18,0.0,0.0,251226.02,139913628.42,4715933.07,0.0,69956374.82000001,62816667.57,3895565.78,0.0,0.0
Automobile Manufacturers,0.0,3197855.63,1937131.75,0.0,0.0,13292241.02,0.0,0.0,3348076.9899999998,20568168279.88,678217275.5,592960900.0,0.0,0.0,8197320.169999999,0.0,0.0,0.0,0.0,2211859.8,7162560.81,0.0,64716587.16,0.0,1183120987.53,100636434.81,96069902.0,0.0,0.0,12944127.68,943.4,86791236.04,4504471.68,0.0,1811.32,6173991.33,49991591.75,700720.55,10680.0,0.0,29845.18,12394466.14,0.0,0.0,945000.0,0.0,373963.59,0.0,0.0,0.0,0.0,176736316.54999998,29778453.95,60511750.739999995,4000.0,1020427.72,0.0,0.0,0.0,233242.61,31995771.259999998,0.0,157846.7,0.0,0.0,593208941.73,37785661.04,0.0,0.0,0.0,1022270679.92,0.0,7959.82,0.0,572389274.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344154.87,8217027.26,0.0,4000000.0,0.0,387049.01,0.0,0.0,341225611.29,291698.58999999997,0.0,0.0,284226251.51,0.0,0.0,0.0,0.0,2428471.48,0.0,0.0,5467202.02,253944.83,0.0,0.0
Automotive Parts & Equipment,1827658.54,208055.0,0.0,0.0,905491.13,6812459.47,27800729.67,22587472.229999997,15029517.19,5785139774.860001,14226631564.28,1225989204.01,1140350.0,0.0,38227340.22,106519.13,0.0,0.0,693599.1,165673078.33,1201905681.16,758338.1699999999,410525737.36,1658366988.5100002,63296332.05,2833305.53,0.0,59062.26,293700.94,22864885.48,34439695.970000006,15924811.91,0.0,5017356.35,4771314.72,567094472.5,1300327919.06,23940648.900000002,93656973.97,4422499.44,11063184.38,0.0,0.0,3003713.72,0.0,5156266.53,6765155.949999999,0.0,0.0,0.0,503960451.1,1847792.75,345152874.06,169937465.35,0.0,19707919.49,0.0,0.0,0.0,266413.51,6805001.699999999,0.0,48807024.43,0.0,0.0,2342327645.2200003,870097.1599999999,0.0,0.0,273451.35,12451617.99,0.0,13581710.48,0.0,75479088.65,0.0,306733.0,1200000.0,0.0,0.0,0.0,0.0,216096127.15,49890359.72,31781389.71,7754096.1,8577013.840000002,0.0,510940.78,15795343.56,471356.64,28986715.159999996,83435412.86000001,0.0,0.0,209698764.41,0.0,0.0,611601.61,249609814.34,201169596.27999997,2746619.62,5379834.4,1624725.69,10669013.95,0.0,0.0
Automotive Retail,754.72,0.0,4218111.87,0.0,0.0,0.0,0.0,48157.94,0.0,95925055.12,190725199.31,286120769.37,0.0,0.0,0.0,0.0,0.0,0.0,864019.8200000001,203952339.55,0.0,0.0,38343412.93,0.0,0.0,0.0,0.0,0.0,0.0,1897096.53,0.0,0.0,0.0,0.0,0.0,0.0,56907042.980000004,0.0,13648769.81,13659.18,0.0,37231.03,0.0,0.0,0.0,39292.61,0.0,0.0,0.0,0.0,0.0,0.0,28923966.200000003,89885000.0,0.0,0.0,0.0,0.0,0.0,8400764.2,0.0,142050.0,0.0,0.0,0.0,4388169.0,1436546.71,0.0,0.0,0.0,2190167.74,0.0,137643.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19300.0,8001400.0,0.0,0.0,25396969.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350062.26,0.0,0.0
Biotechnology,0.0,0.0,0.0,15713753.85,1195676.34,0.0,159315736.15,0.0,38741818.67,0.0,21769.93,0.0,93059166.61,0.0,428130.6,0.0,0.0,0.0,0.0,582400805.86,63752225.1,0.0,0.0,20526354.33,716892.21,723100.0,0.0,2603111.6199999996,171833331.75,25794.57,34520031.07,26090714.91,0.0,0.0,0.0,3176057.36,7802694.92,3449265.69,0.0,74079.55,4741056.58,0.0,0.0,913594.18,0.0,16857.18,0.0,0.0,0.0,39320.37,616029.38,21803462.69,2906796.52,53724236.32,0.0,0.0,0.0,0.0,11282581.29,0.0,0.0,0.0,138011964.46,0.0,0.0,4360367.76,0.0,0.0,0.0,0.0,497650696.18,0.0,10525857.360000001,2594339.62,0.0,582000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99901.81,0.0,517995852.91,0.0,0.0,143148246.04,0.0,173062746.35999998,71605119.49,676850.38,0.0,0.0,53889807.33,7623070.9,0.0,7704357.7,54273500.0,17203.68,0.0,18755398.23,0.0,355375.0,0.0,0.0
