Supplier_Industry,Advertising,Aerospace & Defense,Agricultural & Farm Machinery,Agricultural Products & Services,Air Freight & Logistics,Airport Services,Aluminum,Apparel Retail,"Apparel, Accessories & Luxury Goods",Automobile Manufacturers,Automotive Parts & Equipment,Automotive Retail,Biotechnology,Brewers,Building Products,Cable & Satellite,Casinos & Gaming,Coal & Consumable Fuels,Commercial Printing,Commodity Chemicals,Communications Equipment,Computer & Electronics Retail,Construction & Engineering,Construction Machinery & Heavy Transportation Equipment,Construction Materials,Consumer Electronics,Consumer Staples Merchandise Retail,Copper,Distillers & Vintners,Distributors,Diversified Chemicals,Diversified Metals & Mining,Diversified Support Services,Drug Retail,Education Services,Electric Utilities,Electrical Components & Equipment,Electronic Components,Electronic Equipment & Instruments,Environmental & Facilities Services,Fertilizers & Agricultural Chemicals,Food Distributors,Food Retail,Footwear,Forest Products,Gas Utilities,Gold,Health Care Distributors,Health Care Equipment,Health Care Facilities,Health Care Services,Health Care Supplies,Health Care Technology,Heavy Electrical Equipment,Highways & Railtracks,Home Furnishings,Home Improvement Retail,Homebuilding,Homefurnishing Retail,"Hotels, Resorts & Cruise Lines",Household Appliances,Household Products,Housewares & Specialties,Human Resource & Employment Services,Industrial Gases,Industrial Machinery & Supplies & Components,Integrated Telecommunication Services,Internet Services & Infrastructure,Leisure Facilities,Leisure Products,Life Sciences Tools & Services,Marine Ports & Services,Marine Transportation,"Metal, Glass & Plastic Containers",Motorcycle Manufacturers,Movies & Entertainment,Office Services & Supplies,Oil & Gas Drilling,Oil & Gas Equipment & Services,Oil & Gas Exploration & Production,Oil & Gas Refining & Marketing,Oil & Gas Storage & Transportation,Other Specialty Retail,Packaged Foods & Meats,Paper & Plastic Packaging Products & Materials,Paper Products,Passenger Airlines,Personal Care Products,Pharmaceuticals,Publishing,Rail Transportation,Renewable Electricity,Research & Consulting Services,Restaurants,Security & Alarm Services,Semiconductors,Soft Drinks & Non-alcoholic Beverages,Specialized Consumer Services,Specialty Chemicals,Steel,Technology Distributors,"Technology Hardware, Storage & Peripherals",Textiles,Tires & Rubber,Trading Companies & Distributors,Water Utilities,Wireless Telecommunication Services
Advertising,207776331.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2792456.4699999997,2249868.36,4238763.9,0.0,0.0,0.0,0.0,73883571.32,0.0,0.0,1431798.27,0.0,0.0,0.0,741319.6599999999,0.0,55175.0,11962500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30946.76,0.0,0.0,0.0,0.0,134433.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325139029.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212850.0,0.0,0.0,287880.0,0.0,0.0,0.0,7574292.49,4943310.56,0.0,0.0,0.0,0.0,89173572.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138572.64,130326.23,7000000.0,0.0,5221424.63,0.0,0.0,0.0,0.0,0.0,0.0,134071.79,0.0,0.0,0.0,0.0,371077.83,10293.18,0.0,0.0,258100.0,0.0,0.0
Aerospace & Defense,0.0,1160926224.37,0.0,0.0,0.0,10820291.19,0.0,0.0,36792.45,986956.3200000001,317123.41,0.0,0.0,0.0,6041234.68,0.0,0.0,0.0,0.0,304834964.38,112071212.25000001,0.0,0.0,529919836.34999996,0.0,0.0,0.0,0.0,0.0,29700.0,448876.31999999995,22997817.21,0.0,23422092.52,0.0,0.0,12426535.73,51888858.73,2468670.27,341954.87,0.0,0.0,0.0,0.0,0.0,0.0,266000.0,0.0,0.0,0.0,0.0,0.0,4383637.6,24994406.37,775000.0,0.0,0.0,0.0,0.0,4843197.4,760063618.26,0.0,88581.88,0.0,0.0,14166821.64,0.0,0.0,400000.0,0.0,755746171.88,0.0,0.0,0.0,16224100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4526976.19,17706832.05,697772.0,15760500.0,0.0,0.0,0.0,0.0,1224047.33,61084.51,0.0,0.0,88857.17,0.0,0.0,0.0,32032472.0,530265.47,0.0,0.0,460.87,0.0,0.0,0.0
Agricultural & Farm Machinery,0.0,0.0,9562442.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13447056.11,0.0,0.0,0.0,35964.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85398.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28261720.68,0.0,0.0,0.0,0.0,23853119.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231954.95,0.0,0.0,0.0,0.0,66371.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agricultural Products & Services,0.0,0.0,0.0,1724215976.8700001,1257268.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14362790.11,0.0,0.0,6115651.96,0.0,12144.2,1079.48,0.0,0.0,13137931.0,1069303.54,53948647.21,716486.5,11682475.0,0.0,0.0,0.0,4668560.9,0.0,181483769.0,10783.56,64565658.0,348755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491444.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700000.0,0.0,0.0,225754.02,0.0,0.0,0.0,0.0,99783056.65,0.0,0.0,0.0,0.0,0.0,32712.0,0.0,0.0,0.0,0.0,0.0,0.0,320539152.51,6810768.93,0.0,0.0,0.0,1522936.5799999998,0.0,0.0,178506475.22,4677.76,8730.0,0.0,712216.98,0.0,0.0,0.0,589069.2,2393928.0,25959468.8,0.0,0.0,45945232.2,96000.0,0.0
Air Freight & Logistics,0.0,0.0,0.0,751381.24,6909106082.79,37086461.21,83196285.96,0.0,205263532.92999998,243494.71,619104.69,0.0,4962448.63,0.0,0.0,0.0,0.0,2296213.32,0.0,103212300.5,41671929.05,0.0,39911778.81,1113357.4300000002,1301486.85,0.0,0.0,0.0,2040149.2,2531558.68,233813193.4,32273109.46,538069887.69,0.0,0.0,0.0,2866171.41,0.0,1448892.49,192800885.23000002,10848382.26,0.0,0.0,0.0,0.0,706483.28,310209900.0,4764713.79,0.0,0.0,0.0,0.0,32219535.8,1042131.16,14757051.81,0.0,0.0,0.0,0.0,52635684.48,379060406.07,0.0,52880595.78,0.0,0.0,198911740.26,0.0,0.0,0.0,0.0,21024677.57,94070409.2,104299081.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2761904.75,482169.94,30173.8,521627.36,0.0,0.0,0.0,0.0,94400523.32,57981422.0,2843408.04,0.0,0.0,4392523.9,0.0,0.0,828157.87,100810398.94,0.0,0.0,0.0,3980717.21,1978387.48,0.0,0.0
Airport Services,191896763.07,0.0,0.0,0.0,76011684.44,292963652.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1739527.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34901765.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8131.21,0.0,801065.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53260875.72,0.0,0.0,0.0,0.0,1821286.7999999998,0.0,372472800.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327198.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58522035.800000004,0.0,3658761.82,0.0,0.0,0.0,0.0,0.0
Aluminum,0.0,0.0,0.0,0.0,1816541.6099999999,0.0,1405965239.15,0.0,24107800.849999998,0.0,9901572.2,0.0,1656887.95,0.0,0.0,0.0,0.0,5721500.0,0.0,85939584.94,7773118.42,0.0,18578.440000000002,3714370.6999999997,0.0,0.0,0.0,0.0,0.0,0.0,12143153.86,6419031.28,2443.39,0.0,0.0,0.0,33292094.55,0.0,2236799.85,0.0,15594333.24,4884.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222859.83,0.0,6438950.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40395138.29000001,0.0,0.0,135553.08000000002,0.0,0.0,0.0,189385.72,2660846.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7200326.16,141680.81,796.46,0.0,0.0,0.0,0.0,0.0,1864561.15,1302596.66,0.0,0.0,505361246.97,0.0,0.0,0.0,447484855.04,213179923.89999998,648948155.03,0.0,0.0,0.0,0.0,0.0
Apparel Retail,0.0,0.0,0.0,0.0,0.0,0.0,2908679.64,199332.83,0.0,0.0,13279266.0,0.0,0.0,0.0,35254322.69,0.0,0.0,0.0,0.0,0.0,57048245.2,0.0,21763.0,0.0,0.0,0.0,0.0,0.0,0.0,4285183.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954980.17,1415248.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68849.23999999999,0.0,0.0,0.0,18646849.56,0.0,0.0,0.0,4842100.859999999,0.0,113207.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72224043.17,0.0,165796365.64000002,0.0,4569.24,0.0,0.0,24549517.89,0.0,0.0,0.0,25247962.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310217.99,0.0,0.0
"Apparel, Accessories & Luxury Goods",0.0,0.0,0.0,2466604.64,155461.02000000002,0.0,1017737.45,371407.0,929767216.09,1170432.82,7341112.71,0.0,74259.3,0.0,123428.21,0.0,0.0,0.0,0.0,83998214.60000001,1368231.7,0.0,75232083.92,0.0,151927307.99,7380.0,0.0,0.0,105320.01,72566.37,3186085.61,149719.89,141066.88,0.0,0.0,0.0,129674004.50999999,35410768.6,65292.04,0.0,425064523.57,0.0,0.0,0.0,0.0,93546.88,7268689.82,0.0,0.0,0.0,89442777.5,145778.78,5534361.79,0.0,0.0,7557.51,0.0,0.0,0.0,23695083.69,890389.02,0.0,756982.72,5469.03,0.0,80653740.98,107971.66,0.0,0.0,0.0,10487597.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195913.92,33546846.23,0.0,295470.06,0.0,0.0,9252142.719999999,465547.55,0.0,364863.49,20868810.33,0.0,0.0,16506039.870000001,0.0,0.0,0.0,12489296.74,4162184.72,0.0,55196632.8,53538668.74,1332892.34,0.0,0.0
Automobile Manufacturers,0.0,580289.2599999999,0.0,0.0,0.0,0.0,0.0,0.0,69026.55,19378727613.35,999652254.4,152.19,0.0,0.0,19227041.759999998,0.0,0.0,0.0,3504.43,2599181.91,4604234.3,0.0,0.0,0.0,0.0,83819550.59,0.0,0.0,0.0,7169720.28,0.0,93543723.22999999,0.0,0.0,0.0,1530276.99,18951625.62,466336.09,0.0,0.0,0.0,33854207.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234678332.98000002,35700763.8,6922467.95,0.0,3516624.5999999996,0.0,0.0,0.0,252538.33,216037.74,0.0,0.0,0.0,0.0,216864564.5,21054278.49,0.0,0.0,0.0,57149971.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2051882.54,31105503.03,0.0,6000000.0,0.0,379791.13,0.0,0.0,371553807.9,1947949.52,0.0,0.0,176028898.49,0.0,0.0,0.0,0.0,15391330.59,0.0,0.0,0.0,401691.21,0.0,0.0
