Supplier_Industry,Advertising,Aerospace & Defense,Agricultural & Farm Machinery,Agricultural Products & Services,Air Freight & Logistics,Airport Services,Aluminum,Apparel Retail,"Apparel, Accessories & Luxury Goods",Automobile Manufacturers,Automotive Parts & Equipment,Automotive Retail,Biotechnology,Brewers,Building Products,Cable & Satellite,Casinos & Gaming,Coal & Consumable Fuels,Commercial Printing,Commodity Chemicals,Communications Equipment,Computer & Electronics Retail,Construction & Engineering,Construction Machinery & Heavy Transportation Equipment,Construction Materials,Consumer Electronics,Consumer Staples Merchandise Retail,Copper,Distillers & Vintners,Distributors,Diversified Chemicals,Diversified Metals & Mining,Diversified Support Services,Drug Retail,Education Services,Electric Utilities,Electrical Components & Equipment,Electronic Components,Electronic Equipment & Instruments,Environmental & Facilities Services,Fertilizers & Agricultural Chemicals,Food Distributors,Food Retail,Footwear,Forest Products,Gas Utilities,Gold,Health Care Distributors,Health Care Equipment,Health Care Facilities,Health Care Services,Health Care Supplies,Health Care Technology,Heavy Electrical Equipment,Highways & Railtracks,Home Furnishings,Home Improvement Retail,Homebuilding,Homefurnishing Retail,"Hotels, Resorts & Cruise Lines",Household Appliances,Household Products,Housewares & Specialties,Human Resource & Employment Services,Industrial Gases,Industrial Machinery & Supplies & Components,Integrated Telecommunication Services,Internet Services & Infrastructure,Leisure Facilities,Leisure Products,Life Sciences Tools & Services,Marine Ports & Services,Marine Transportation,"Metal, Glass & Plastic Containers",Motorcycle Manufacturers,Movies & Entertainment,Office Services & Supplies,Oil & Gas Drilling,Oil & Gas Equipment & Services,Oil & Gas Exploration & Production,Oil & Gas Refining & Marketing,Oil & Gas Storage & Transportation,Other Specialty Retail,Packaged Foods & Meats,Paper & Plastic Packaging Products & Materials,Paper Products,Passenger Airlines,Personal Care Products,Pharmaceuticals,Publishing,Rail Transportation,Renewable Electricity,Research & Consulting Services,Restaurants,Security & Alarm Services,Semiconductors,Soft Drinks & Non-alcoholic Beverages,Specialized Consumer Services,Specialty Chemicals,Steel,Technology Distributors,"Technology Hardware, Storage & Peripherals",Textiles,Tires & Rubber,Trading Companies & Distributors,Water Utilities,Wireless Telecommunication Services
Advertising,2768837070.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17086656.130000003,8900280.33,72982776.44,222655.66,0.0,0.0,650615.53,1095768542.84,0.0,0.0,54646686.480000004,615350176.97,0.0,170000.0,13358477.92,0.0,55175.0,25269700.0,11054878.06,0.0,7924528.33,360183.33,0.0,0.0,4314484.04,0.0,0.0,0.0,50378107.27,0.0,10792903.0,323576.79,5972868.36,134433.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612313918.13,0.0,0.0,0.0,0.0,0.0,0.0,80256839.36,0.0,0.0,0.0,0.0,0.0,25466094.46,0.0,0.0,0.0,16026701.31,8409616.11,0.0,0.0,0.0,0.0,198002187.17000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90989174.28,48095521.29,1270003.27,0.0,0.0,10701395.97,261718653.68,0.0,0.0,40661804.74,0.0,0.0,587482.02,0.0,0.0,0.0,0.0,62370470.14,0.0,425619.24000000005,0.0,3506314.68,84194722.2,0.0
Aerospace & Defense,0.0,1086003940.0,0.0,23451.0,0.0,28960542.88,0.0,0.0,139893.63999999998,1634315.7,567165.9,2000.0,0.0,0.0,1320873.73,0.0,0.0,0.0,0.0,872969.02,285075253.3,0.0,0.0,1596080153.43,0.0,0.0,0.0,0.0,74287.57,876467.32,5923799.4,235818964.02,1831900.0,50233961.09,0.0,25378500.84,58004900.06,86318864.15,277562139.01,341954.87,50652682.37,0.0,0.0,0.0,0.0,2903504.59,356000.0,0.0,0.0,0.0,0.0,10395147.129999999,11188348.879999999,44991459.9,731132.08,0.0,0.0,0.0,0.0,89415312.02,0.0,0.0,179245.28,0.0,0.0,106349813.86,0.0,0.0,0.0,0.0,1459953688.71,0.0,0.0,0.0,27875900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66194.69,164746210.60000002,1238354.0,72888265.2,0.0,0.0,1013803.37,0.0,70161346.75,7906775.28,0.0,0.0,729453.3099999999,0.0,0.0,0.0,73821560.22,748761.04,0.0,80195967.04,252199983.67000002,468765.43,0.0,0.0
Agricultural & Farm Machinery,0.0,0.0,17741109.87,0.0,0.0,0.0,0.0,0.0,0.0,1681986.85,0.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167444948.62,0.0,0.0,0.0,0.0,215787.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8638826.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155733325.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164800370.75,0.0,0.0,0.0,0.0,104781928.86,0.0,0.0,0.0,1051000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711013.0900000001,0.0,0.0,0.0,0.0,448478.0,0.0,0.0,0.0,11462352.43,14203944.49,0.0,5311830.73,0.0,0.0,0.0,82628798.78,117000459.41,0.0,0.0,0.0,188106137.62,0.0,0.0
Agricultural Products & Services,12058.54,0.0,0.0,6096502696.17,1337754.2,0.0,204534.97,686.24,37100483.79,47025.84,22675909.990000002,0.0,96062822.39,0.0,0.0,0.0,0.0,0.0,0.0,5222090.59,369925634.24,0.0,57051165.09,0.0,697715933.29,1079.48,0.0,0.0,16213062.66,72405594.68,152150989.32,29249950.34,12548077.61,0.0,2012.73,20864100.0,21343376.349999998,3431916.07,316746533.15,23145.21,13392476.0,286367457.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008493.45,315290.0,0.0,0.0,1212919.35,0.0,0.0,0.0,309273.0,72738117.41000001,0.0,750000.0,0.0,0.0,38080577.21,0.0,0.0,2389714.78,575628163.41,1258766888.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38006715.29,4464903678.01,171932412.68,0.0,0.0,0.0,13421441.7,0.0,0.0,27411936.61,108469315.25,47957936.37,0.0,79280784.88,101898100.0,0.0,0.0,1513876.14,2490310.13,74932348.22999999,47269951.08,0.0,65372793.339999996,0.0,0.0
Air Freight & Logistics,0.0,0.0,0.0,286273884.92999995,17370689242.07,217539192.48,368037646.64,3374986.79,458126546.59000003,553398.38,31913065.28,225019.46,78759967.87,0.0,2331501.18,0.0,0.0,22180442.97,0.0,556960869.0699999,81336795.62,0.0,1261483121.93,274574914.47,15558223.71,0.0,0.0,0.0,120491736.59,45920527.29000001,710621037.64,562728832.03,209122825.65,0.0,0.0,200436.19,383796157.37,6364580.2299999995,2707256.97,449045979.44,151296311.29,0.0,0.0,0.0,6058748.34,94571294.72,541788892.3199999,0.0,0.0,0.0,3650.0,48299.32,214212682.31,107738947.00999999,257561868.67000002,17761.06,0.0,0.0,0.0,1075420785.44,639490719.3699999,0.0,116331203.38999999,1179815.94,0.0,837009275.8299999,13505726.41,0.0,0.0,0.0,682096768.25,294536845.98,889811031.89,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,400566.04,844302819.2,247062200.78,4004513.08,122013432.60000001,117417281.9,0.0,0.0,165186150.55,0.0,1099271033.55,355612596.31,24886703.24,0.0,24949081.439999998,753588501.42,0.0,0.0,1294399.36,1955534045.48,2883340.25,0.0,30381767.54,9778816.719999999,556271474.38,0.0,0.0
Airport Services,396676312.74,280324247.89000005,0.0,0.0,1986951218.3300002,1890146385.29,16239581.24,0.0,0.0,1076326.0999999999,973527.0,0.0,0.0,0.0,7052614.63,0.0,0.0,0.0,0.0,160684743.98,54957171.85,0.0,160411726.73000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8414375.01,113362.84,398796.23,0.0,4806016.9,1371506218.72,82757006.95000002,0.0,44164909.83,0.0,45942035.4,75092192.93,0.0,0.0,0.0,29590923.38,0.0,0.0,0.0,0.0,0.0,0.0,424908093.15,0.0,1683149.94,0.0,0.0,0.0,0.0,123670304.13,0.0,0.0,0.0,0.0,0.0,394509875.15,0.0,0.0,0.0,0.0,11624097.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206992919.28,10522000.0,0.0,0.0,0.0,0.0,470672098.71,0.0,0.0,0.0,0.0,2057364437.64,874083234.42,0.0,0.0,515353119.92,0.0,0.0,0.0,151378842.84,0.0,5951565.27,0.0,0.0,68391699.15,0.0,0.0
Aluminum,15893687.93,0.0,75576219.61,0.0,3661585.09,0.0,12578387376.55,0.0,152365406.25,0.0,43606620.31,0.0,14733175.940000001,0.0,4572331.609999999,0.0,0.0,12102000.0,64433749.96,297818540.02,950966028.03,0.0,165204955.22,3815982.76,188957.52,0.0,0.0,100741168.42,165754.43,12415134.06,43288535.79,193188636.81,1665684.35,0.0,0.0,2381500.0,839646596.5799999,0.0,63328736.32000001,1886.79,59094684.68,17600.0,0.0,0.0,0.0,383814684.4,0.0,0.0,0.0,0.0,291762.2,163935760.38,845297041.9599999,0.0,0.0,6988267.3,0.0,0.0,0.0,0.0,0.0,0.0,84257959.43,0.0,0.0,246495812.07999998,0.0,0.0,0.0,524600.0,10288761.12,7927946.95,0.0,0.0,0.0,251663.81,45304047.58,0.0,0.0,0.0,0.0,0.0,0.0,12982376.34,141680.81,23402010.02,0.0,0.0,567701.23,27629.65,1563286.57,12725999.799999999,366847125.98,0.0,0.0,1163397023.4399998,0.0,0.0,4200425.45,2343434612.31,709057084.52,6227444.61,20393871.97,0.0,228015600.0,0.0,0.0
Apparel Retail,0.0,0.0,0.0,123408071.21,0.0,0.0,7455894.7,265172.83,0.0,0.0,36480951.91,1032213.33,0.0,0.0,70858458.03,0.0,0.0,0.0,0.0,48593243.089999996,81945937.54,0.0,153130813.69,11000000.02,34688054.05,10162140.56,0.0,0.0,0.0,36005625.27,119549992.86,939297583.23,0.0,0.0,0.0,0.0,61344994.4,0.0,72110239.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24150226.73,0.0,18018599.25,0.0,0.0,14074503.09,45478831.13,0.0,0.0,0.0,0.0,0.0,0.0,356702.8,0.0,0.0,54110942.34,0.0,0.0,138658225.16,74364808.85,0.0,0.0,0.0,16815354.41,0.0,1332694.73,0.0,0.0,7753821.5,19351025.41,0.0,0.0,0.0,0.0,0.0,5296782.98,605928184.74,0.0,13056552.77,0.0,0.0,70290956.60000001,3179460.0,0.0,41854778.339999996,42855025.47,0.0,0.0,225659201.38,0.0,0.0,34259026.64,75402434.66,47859081.760000005,0.0,50667846.51,156157.16,10955587.719999999,0.0,0.0
"Apparel, Accessories & Luxury Goods",18931703.84,13891166.64,0.0,35845161.52,45967677.620000005,47427005.35,347659685.64,5304096.09,2157816887.5099998,32908489.570000004,89912231.84,0.0,343730.88,0.0,710388.98,0.0,0.0,0.0,2547374.79,723460263.3900001,268895318.34999996,45490273.9,822478639.85,0.0,608765007.0400001,3981198.93,0.0,0.0,117768.33,4926502.66,125259262.49,67138593.44,30714341.889999997,0.0,1378105.75,82125.19,496449691.96,102132410.42999999,77726733.83,244145830.43,332234972.69,152316325.9,0.0,3805166.04,0.0,279253.95,15962874.719999999,0.0,30966700.0,0.0,197081053.2,46216414.730000004,154521594.1,0.0,4875.0,12822.99,147389842.63,0.0,0.0,288898286.19,427520287.0,0.0,30189550.869999997,0.0,0.0,250269037.02,91815636.33999999,0.0,200000.0,83667.98999999999,184836936.62,0.0,0.0,844392635.07,9950493.93,4266037.71,0.0,0.0,3352589.46,0.0,38278909.46,0.0,351752.27999999997,158244162.47,0.0,457208778.85,4496824.06,0.0,36662607.64,3924252.64,0.0,712759017.1600001,171805370.88,0.0,36563300.0,265091000.55,0.0,0.0,237380907.23000002,990654188.01,63513293.84,0.0,155531378.79,120365579.03,31984234.36,0.0,0.0
Automobile Manufacturers,0.0,588259.9199999999,946170.46,0.0,1504424.78,13865581.74,0.0,0.0,42961052.35,26319385331.51,2898236712.0,809177310.6099999,0.0,0.0,106744626.77,0.0,0.0,0.0,6103.82,31715294.7,14998037.780000001,0.0,220667286.17000002,0.0,1448743823.1399999,139052616.83,472883971.0,0.0,0.0,28333429.990000002,105995984.15,241442305.92000002,11320.75,0.0,88248.72,780695639.25,118418093.08,587817.11,1433.63,30005.88,0.0,3507.77,0.0,0.0,0.0,0.0,360488.49,0.0,0.0,0.0,0.0,503714733.64,66678037.22,144498581.35,73000.0,683840.52,0.0,0.0,0.0,775142.1900000001,372139.68,0.0,0.0,0.0,0.0,4469121178.16,83907021.22,0.0,0.0,0.0,764985975.8000001,0.0,959793.02,0.0,119977000.0,0.0,0.0,0.0,205384.06,0.0,0.0,0.0,0.0,708970.3,29587113.82,0.0,0.0,0.0,4433497.64,32924.53,0.0,912180765.5300001,865213421.74,0.0,0.0,854136612.51,0.0,0.0,0.0,0.0,32845942.759999998,3152453.68,2815933.58,9359597.3,27527452.81,0.0,0.0
